index,Job Title,Rating,Name,City,State,Headquarters,Size,Calculated Size,Founded,Type of ownership,Industry,Sector,Revenue,Calculated_Revenue,Lower_Salary,Upper_Salary,Avg_Salary,company_txt,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
9,Data Scientist,4.6,"<intent>
4.6",New York,NY,"New York, NY",51 - 200 ,Small,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),$100-$500 million,53,91,72,Tecolote Research,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Data Scientist,na,M
127,Data Scientist,4.6,"<intent>
4.6",New York,NY,"New York, NY",51 - 200 ,Small,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),$100-$500 million,63,112,87.5,University of Maryland Medical System,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
557,Data Scientist,2.8,"1-800-FLOWERS.COM, Inc.
2.8",Carle Place,NY,"Carle Place, NY",1001 - 5000 ,Large,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),$1-$2 billion,80,90,85,KnowBe4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,M
61,Data Scientist,4.7,"1904labs
4.7",Saint Louis,MO,"Saint Louis, MO",51 - 200 ,Small,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,< $25 million,56,97,76.5,PNNL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
541,Data Scientist,4.7,"1904labs
4.7",Saint Louis,MO,"Saint Louis, MO",51 - 200 ,Small,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,< $25 million,86,143,114.5,Affinity Solutions,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
928,"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",4,"23andMe
4.0",South San Francisco,CA,"Sunnyvale, CA",501 - 1000 ,Medium,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,$100-$500 million,71,119,95,CyrusOne,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Data Scientist,na,na
112,Data Scientist,3.8,"7Park Data
3.8",New York,NY,"New York, NY",51 - 200 ,Small,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,< $25 million,54,93,73.5,ClearOne Advantage,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
517,"Associate Director/Director, Safety Scientist",4.4,"Acceleron Pharma
4.4",Cambridge,MA,"Cambridge, MA",201 - 500 ,Medium,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,$50-$100 million,86,142,114,Logic20/20,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,na,M
776,"Associate Director/Director, Safety Scientist",4.4,"Acceleron Pharma
4.4",Cambridge,MA,"Cambridge, MA",201 - 500 ,Medium,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,$50-$100 million,38,84,61,Rochester Regional Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,na,P
145,Data Scientist,3.6,"Accuride International
3.6",Santa Fe Springs,CA,"Santa Fe Springs, CA",1001 - 5000 ,Large,1966,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),$100-$500 million,120,160,140,<intent>,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
255,Senior Research Statistician- Data Scientist,4.8,"Acuity Insurance
4.8",Sheboygan,WI,"Sheboygan, WI",1001 - 5000 ,Large,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),$1-$2 billion,126,201,163.5,Wish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,na,na
664,Data Science Engineer - Mobile,4,"Adobe
4.0",San Jose,CA,"San Jose, CA",10000+ ,Enterprise,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),$2-$10 billion,64,106,85,ManTech,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,na,na
899,Data Science Engineer - Mobile,4,"Adobe
4.0",San Jose,CA,"San Jose, CA",10000+ ,Enterprise,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),$2-$10 billion,106,172,139,Walmart,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,na,M
250,Staff Scientist-Downstream Process Development,2.7,"Advanced BioScience Laboratories
2.7",Rockville,MD,"Rockville, MD",201 - 500 ,Medium,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),$25-$50 million,46,85,65.5,Yesler,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,Analyst,na,na
455,Staff Scientist-Downstream Process Development,2.7,"Advanced BioScience Laboratories
2.7",Rockville,MD,"Rockville, MD",201 - 500 ,Medium,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),$25-$50 million,83,144,113.5,Takeda Pharmaceuticals,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Data Scientist,na,M
500,Staff Scientist- Upstream PD,2.7,"Advanced BioScience Laboratories
2.7",Rockville,MD,"Rockville, MD",201 - 500 ,Medium,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),$25-$50 million,102,190,146,Audible,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,na,na
681,Staff Scientist-Downstream Process Development,2.7,"Advanced BioScience Laboratories
2.7",Rockville,MD,"Rockville, MD",201 - 500 ,Medium,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),$25-$50 million,67,137,102,Blueprint Medicines,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,na,P
